id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
2490,MUNICIPIO DE PUERTO RONDON,800102798,Arauca,Puerto Rondón,Territorial,Servicio Público
2491,DEPARTAMENTO ADMINISTRATIVO DE ARTE Y CULTURA ALCALDIA DE TULUA,891900272,Valle del Cauca,Tuluá,Territorial,Servicio Público
2492,INPEC REGIONAL NORTE,802008282,Atlántico,No Definido,Nacional,Ley de Justicia
2493,PERSONERIA MUNICUPAL DE VIOTA,900363021,Cundinamarca,Viotá,Territorial,Servicio Público
2494,INSTITUCION EDUCATIVA CRISTO REY,834000185,Arauca,Arauca,Territorial,Educación Nacional
2495,INSTITUCION EDUCATIVA JUAN DE AMPUDIA,805009385,Valle del Cauca,Cali,Territorial,Educación Nacional
2496,EMPRESA DE SERVICIOS PUBLICOS RIO ABURRA,900863443,Antioquia,Caldas,Territorial,No aplica/No pertenece
2497,CORPORACION CREA TALENTO,9013455247,Distrito Capital de Bogotá,Bogotá,Nacional,Cultura
2498,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA GIRARDOT,8906800195,Cundinamarca,Granada,Territorial,Educación Nacional
2499,INSTITUCION EDUCATIVA TECNICA AGROINDUSTRIAL LEOPOLDO GARCIA,890706950,No Definido,No Definido,Territorial,Educación Nacional
2500,INSTITUCION EDUCATIVA COMUNITARIA LUIS CARLOS VALENCIA,805021344,Valle del Cauca,Jamundí,Territorial,Educación Nacional
2501,INSTITUCION EDUCATIVA VILLAS DE SAN IGNACIO,9004159951,Santander,Bucaramanga,Territorial,Educación Nacional
2502,CONCEJO MUNICIPAL SAN PEDRO DE LOS MILAGROS,890983922,Antioquia,San Pedro,Territorial,Servicio Público
2503,COLEGIO SANTA MARTHA INSTITUCION EDUCATIVA DISTRITAL,8300350231,Distrito Capital de Bogotá,Bogotá,Territorial,Educación Nacional
2504,INSTITUCION EDUCATIVA AGROPECUARIA LUIS ANTONIO MONTERO,814000314,Nariño,Aldana,Territorial,No aplica/No pertenece
2505,SERVITEATINOSAMACA,900283400,Boyacá,Samacá,Territorial,No aplica/No pertenece
